SampleID	FamilyID	Population	Gender
HG01889	BB05	ACB	female
HG01890	BB05	ACB	male
HG01892	PEL007	PEL	male
HG01893	PEL007	PEL	female
HG01894	BB06	ACB	female
HG01896	BB07	ACB	female
HG01912	BB06	ACB	male
HG01914	BB09	ACB	male
HG01915	BB09	ACB	female
HG01917	PEL006	PEL	male
HG01918	PEL006	PEL	female
HG01920	PEL009	PEL	male
HG01921	PEL009	PEL	female
HG01923	PEL010	PEL	male
HG01924	PEL010	PEL	female
HG01926	PEL011	PEL	male
HG01927	PEL011	PEL	female
HG01932	PEL013	PEL	male
HG01933	PEL013	PEL	female
HG01935	PEL014	PEL	male
HG01936	PEL014	PEL	female
HG01938	PEL015	PEL	male
HG01939	PEL015	PEL	female
HG01941	PEL016	PEL	male
HG01942	PEL016	PEL	female
HG01944	PEL017	PEL	male
HG01945	PEL017	PEL	female
HG01947	PEL018	PEL	male
HG01948	PEL018	PEL	female
HG01950	PEL019	PEL	male
HG01951	PEL019	PEL	female
HG01953	PEL020	PEL	male
HG01954	PEL020	PEL	female
HG01956	BB03	ACB	female
HG01958	BB10	ACB	female
HG01961	PEL21	PEL	male
HG01965	PEL22	PEL	female
HG01967	PEL023	PEL	male
HG01968	PEL023	PEL	female
HG01970	PEL024	PEL	male
HG01971	PEL024	PEL	female
HG01973	PEL25	PEL	female
HG01974	PEL25	PEL	male
HG01976	PEL26	PEL	female
HG01977	PEL26	PEL	male
HG01979	PEL27	PEL	male
HG01980	PEL27	PEL	female
HG01982	PEL28	PEL	male
HG01985	BB08	ACB	female
HG01986	BB10	ACB	male
HG01988	BB11	ACB	male
HG01989	BB11	ACB	female
HG01990	BB12	ACB	male
HG01991	PEL29	PEL	male
HG01992	PEL29	PEL	female
HG01997	PEL31	PEL	female
HG02002	PEL33	PEL	male
HG02003	PEL33	PEL	female
HG02006	PEL34	PEL	female
HG02008	PEL31	PEL	male
HG02009	BB13	ACB	male
HG02010	BB13	ACB	female
HG02012	BB12	ACB	female
HG02013	BB07	ACB	male
HG02014	BB04	ACB	male
HG02016	VN046	KHV	female
HG02017	VN046	KHV	male
HG02019	VN047	KHV	female
HG02020	VN047	KHV	male
HG02023	VN048	KHV	male
HG02025	VN049	KHV	female
HG02026	VN049	KHV	male
HG02028	VN050	KHV	female
HG02029	VN050	KHV	male
HG02031	VN051	KHV	female
HG02032	VN051	KHV	male
HG02035	VN052	KHV	male
HG02040	VN054	KHV	male
HG02047	VN056	KHV	male
HG02048	VN057	KHV	female
HG02049	VN058	KHV	female
HG02050	VN059	KHV	male
HG02051	BB14	ACB	male
HG02052	BB14	ACB	female
HG02053	BB15	ACB	male
HG02054	BB15	ACB	female
HG02057	VN060	KHV	female
HG02058	VN060	KHV	male
HG02060	VN061	KHV	female
HG02061	VN061	KHV	male
HG02064	VN062	KHV	male
HG02067	VN063	KHV	male
HG02069	VN064	KHV	female
HG02070	VN064	KHV	male
HG02072	VN065	KHV	female
HG02073	VN065	KHV	male
HG02075	VN066	KHV	female
HG02076	VN066	KHV	male
HG02078	VN067	KHV	female
HG02079	VN067	KHV	male
HG02081	VN068	KHV	female
HG02082	VN068	KHV	male
HG02084	VN069	KHV	female
HG02085	VN069	KHV	male
HG02086	VN070	KHV	female
HG02087	VN071	KHV	female
HG02088	VN072	KHV	male
HG02089	PEL35	PEL	female
HG02090	PEL35	PEL	male
HG02095	BB16	ACB	female
HG02102	PEL37	PEL	female
HG02104	PEL38	PEL	male
HG02105	PEL38	PEL	female
HG02107	BB18	ACB	male
HG02108	BB18	ACB	female
HG02111	BB19	ACB	female
HG02113	VN073	KHV	female
HG02116	VN074	KHV	male
HG02121	VN076	KHV	female
HG02122	VN076	KHV	male
HG02127	VN078	KHV	female
HG02128	VN078	KHV	male
HG02130	VN079	KHV	female
HG02131	VN079	KHV	male
HG02133	VN080	KHV	female
HG02134	VN080	KHV	male
HG02136	VN081	KHV	female
HG02137	VN081	KHV	male
HG02138	VN082	KHV	male
HG02139	VN083	KHV	female
HG02140	VN084	KHV	female
HG02141	VN085	KHV	male
